$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vbs,k,idm,vgsm,vt,temper,alter#
-1.100e+00, 6.821e-07, 1.045e-07, 6.000e-01, 4.468e-01, 2.500e+01,1
-1.000e+00, 7.221e-07, 1.178e-07, 6.000e-01, 4.368e-01, 2.500e+01,1
-9.000e-01, 7.511e-07, 1.317e-07, 6.000e-01, 4.247e-01, 2.500e+01,1
-8.000e-01, 7.680e-07, 1.458e-07, 6.000e-01, 4.101e-01, 2.500e+01,1
-7.000e-01, 7.725e-07, 1.603e-07, 6.000e-01, 3.925e-01, 2.500e+01,1
-6.000e-01, 7.651e-07, 1.750e-07, 6.000e-01, 3.713e-01, 2.500e+01,1
-5.000e-01, 7.643e-07, 1.151e-07, 5.000e-01, 3.494e-01, 2.500e+01,1
-4.000e-01, 8.174e-07, 1.327e-07, 5.000e-01, 3.376e-01, 2.500e+01,1
-3.000e-01, 8.519e-07, 1.511e-07, 5.000e-01, 3.226e-01, 2.500e+01,1
-2.000e-01, 8.654e-07, 1.701e-07, 5.000e-01, 3.034e-01, 2.500e+01,1
-1.000e-01, 8.576e-07, 1.894e-07, 5.000e-01, 2.791e-01, 2.500e+01,1
   0., 8.505e-07, 1.260e-07, 4.000e-01, 2.519e-01, 2.500e+01,1
